,Year,Nests_Lost,Total_Nests,Percent_Loss
0,2011,830,21900,3.7899543378995433
1,2012,158,7237,2.1832250932706923
2,2013,339,4844,6.998348472336911
3,2014,459,10572,4.341657207718502
4,2015,117,7072,1.6544117647058825
5,2016,627,9442,6.640542257996188
6,2017,426,5559,7.663248785752834
7,2010,1618,9607,16.84188612470074
8,2018,305,3192,9.55513784461153
